Repository,Sections,16/11/2020,5/2/2021,1/3/2021
project-a,statements,21.54%,23.84%,23.99%
,branches,19.82%,17.19%,17.19%
,functions,19.64%,16.96%,16.91%
,lines,21.77%,24.31%,24.45%
project-b,statements,18.64%,25.80%,25.70%
,branches,26.53%,27.13%,26.72%
,functions,16.92%,27.42%,27.42%
,lines,17.82%,26.43%,26.32%
project-c,statements,0.00%,0.00%,0.00%
,branches,0.00%,0.00%,0.00%
,functions,0.00%,0.00%,0.00%
,lines,0.00%,0.00%,0.00%
project-d,statements,63.20%,77.62%,79.33%
,branches,61.97%,76.42%,77.43%
,functions,67.96%,80.28%,82.48%
,lines,64.27%,77.30%,78.69%
project-e,statements,92.19%,92.19%,92.19%
,branches,58.33%,58.33%,58.33%
,functions,100.00%,100.00%,100.00%
,lines,92.06%,92.06%,92.06%
project-f,statements,31.02%,32.99%,32.94%
,branches,20.77%,23.14%,23.16%
,functions,22.15%,25.62%,25.76%
,lines,31.21%,33.15%,33.10%
project-g,statements,29.50%,31.32%,31.38%
,branches,21.55%,18.90%,18.90%
,functions,32.13%,29.47%,29.44%
,lines,29.28%,30.87%,30.93%
project-h,statements,2.52%,2.52%,2.52%
,branches,9.72%,9.72%,9.72%
,functions,4.26%,4.26%,4.26%
,lines,1.87%,1.87%,1.87%
project-i,statements,84.41%,81.99%,81.95%
,branches,68.81%,64.80%,67.65%
,functions,79.65%,78.36%,78.98%
,lines,83.77%,82.51%,82.09%
